"RelativePath","SizeMB"
"CAD\X Gantry Assy\NF-A4x20.IGS","38.026"
"CAD\E3V2_Rebuild.SLDASM","28.018"
"CAD\Electronics\BTT E3 SKR MINI V3.0.SLDPRT","25.456"
"CAD\X Gantry Assy\bmg_extruder(multibody part).SLDPRT","18.013"
"CAD\X Gantry Assy\Ender3S1_assembled.SLDASM.SLDASM","10.473"
"CAD\Electronics\BTT SKR Mini E3 V3\Ender3S1_assembled.SLDASM.SLDASM","10.426"
"CAD\X Gantry Assy\X Gantry Assy.SLDASM","8.521"
"CAD\X Gantry Assy\Thumbscrew.SLDPRT","7.342"
"CAD\Electronics\skr_box_assy.SLDASM","7.06"
"CAD\Z Assy\Z_Assy.SLDASM","6.821"
"CAD\Z Assy\T8_leadscrew.SLDPRT","6.374"
"CAD\Electronics\pi_box_assy.SLDASM","5.216"
"CAD\X Gantry Assy\Impeller20.SLDPRT","3.039"
"CAD\X Gantry Assy\NF-A4x20.SLDASM","3.007"
"CAD\Y Gantry Assy\Bed Spring.SLDPRT","2.688"
"CAD\X Gantry Assy\Stator.SLDPRT","2.465"
"CAD\Y Gantry Assy\Y Axis Assy.SLDASM","2.41"
"CAD\X Gantry Assy\Brushless motor.SLDASM","2.354"
"CAD\Electronics\Orange Pi 3 LTS\Orange Pi 3 LTS.SLDASM","2.088"
"CAD\X Gantry Assy\Case20.SLDPRT","1.964"
"CAD\X Gantry Assy\BMG Extruder Assy.SLDASM","1.681"
"CAD\Z Assy\Z_Stepper_Mount_Right.SLDPRT","1.667"
"CAD\X Gantry Assy\bottom_horns_volcano_fi.SLDPRT","1.535"
"CAD\X Gantry Assy\NEMA-17 stepper motor mockup (32mm).SLDASM","1.387"
"CAD\Z Assy\Thrust Ball Bearing.SLDPRT","1.333"
"CAD\Electronics\BTT SKR Mini E3 V3\Z-axis Belt.SLDPRT","1.292"
"CAD\Electronics\Orange Pi 3 LTS\USB 3.0 x2.SLDPRT","1.199"
"CAD\Y Gantry Assy\Y Bed + Plate Assy.SLDASM","1.174"
"CAD\X Gantry Assy\Controller.SLDPRT","1.168"
"CAD\Z Assy\Z_Stepper_Mount.SLDPRT","1.143"
"CAD\Z Assy\Z_Stepper_Mount_Left.SLDPRT","1.143"
"CAD\X Gantry Assy\Sub_Assy_Drive_X Axis.SLDASM","1.13"
"CAD\Z Assy\Z_Stepper_Motor.SLDPRT","0.924"
"CAD\X Gantry Assy\eBom-FreeParts.SLDPRT","0.911"
"CAD\X Gantry Assy\spring.SLDPRT","0.874"
"CAD\Electronics\BTT SKR Mini E3 V3\Z-Axis Rod.SLDPRT","0.844"
"CAD\Y Gantry Assy\Y Tensioner.SLDASM","0.784"
"CAD\X Gantry Assy\right side z bracket.SLDPRT","0.773"
"CAD\Y Gantry Assy\Tensioner Tensioner - Right.SLDPRT","0.7"
"CAD\Y Gantry Assy\Tensioner Mount_.SLDPRT","0.678"
"CAD\Electronics\pi_box.SLDPRT","0.645"
"CAD\X Gantry Assy\shroud_chonky_LED_long_fan_cover.SLDPRT","0.624"
"CAD\Electronics\Orange Pi 3 LTS\HDMI.SLDPRT","0.609"
"CAD\Electronics\BTT SKR Mini E3 V3\Bed.SLDPRT","0.601"
"CAD\Electronics\Orange Pi 3 LTS\RJ45.SLDPRT","0.593"
"CAD\Y Gantry Assy\Sub_Assy_Drive_Y_Axis.SLDASM","0.535"
"CAD\Y Gantry Assy\Y_Tension_adjust.SLDPRT","0.51"
"CAD\Frame\4040_8-Slot_290mm.SLDPRT","0.498"
"CAD\X Gantry Assy\Shaft 20.SLDPRT","0.493"
"CAD\X Gantry Assy\17HD34008-22B-stepper-motor.SLDPRT","0.434"
